price,quantity,product_name,country,customer_id,date,order_id
63.37,3,Stainless Steel Water Bottle,CN,CUST-1041,2026/02/11,ORD-000041
79.68,3,Wireless Charger Pad,FR,CUST-1042,2026/02/12,ORD-000042
72.35,1,Mechanical Keyboard RGB,BR,CUST-1043,2026/02/13,ORD-000043
86.67,1,Mechanical Keyboard RGB,IN,CUST-1044,2026/02/14,ORD-000044
76.28,1,Leather Wallet Classic,US,CUST-1045,2026/02/15,ORD-000045
26.58,1,External SSD 1TB,CN,CUST-1046,2026/02/16,ORD-000046
27.21,2,4K Webcam Pro,UK,CUST-1047,2026/02/17,ORD-000047
36.52,1,4K Webcam Pro,CA,CUST-1048,2026/02/18,ORD-000048
28.43,3,Running Shoes Elite,BR,CUST-1049,2026/02/19,ORD-000049
40.3,3,LED Desk Lamp,IN,CUST-1050,2026/02/20,ORD-000050
65.49,1,Monitor Arm Dual,US,CUST-1051,2026/02/21,ORD-000051
76.42,1,Smart Watch Series 5,FR,CUST-1052,2026/02/22,ORD-000052
33.84,3,Wireless Headphones Pro,FR,CUST-1053,2026/02/23,ORD-000053
43.28,2,Ergonomic Office Chair,AU,CUST-1054,2026/02/24,ORD-000054
84.07,2,Standing Desk Converter,US,CUST-1055,2026/02/25,ORD-000055
65.82,3,Wireless Headphones Pro,AU,CUST-1056,2026/02/26,ORD-000056
38.79,3,Wireless Charger Pad,DE,CUST-1057,2026/02/27,ORD-000057
58.95,1,Air Purifier Small,FR,CUST-1058,2026/02/28,ORD-000058
36.55,3,Standing Desk Converter,JP,CUST-1059,2026/03/01,ORD-000059
96.13,3,Noise Cancelling Earbuds,DE,CUST-1060,2026/03/02,ORD-000060
41.75,2,Stainless Steel Water Bottle,UK,CUST-1061,2026/03/03,ORD-000061
66.12,1,Stainless Steel Water Bottle,UK,CUST-1062,2026/03/04,ORD-000062
68.94,1,Mechanical Keyboard RGB,CA,CUST-1063,2026/03/05,ORD-000063
42.37,3,External SSD 1TB,BR,CUST-1064,2026/03/06,ORD-000064
89.09,2,Bluetooth Speaker Mini,CN,CUST-1065,2026/03/07,ORD-000065
78.84,1,Air Purifier Small,CA,CUST-1066,2026/03/08,ORD-000066
96.08,3,Wireless Headphones Pro,BR,CUST-1067,2026/03/09,ORD-000067
75.82,3,Leather Wallet Classic,IN,CUST-1068,2026/03/10,ORD-000068
43.85,2,Standing Desk Converter,AU,CUST-1069,2026/03/11,ORD-000069
30.06,3,Bluetooth Speaker Mini,DE,CUST-1070,2026/03/12,ORD-000070
30.07,3,External SSD 1TB,US,CUST-1071,2026/03/13,ORD-000071
59.72,3,Smart Watch Series 5,IN,CUST-1072,2026/03/14,ORD-000072
22.59,2,LED Desk Lamp,CA,CUST-1073,2026/03/15,ORD-000073
20.84,1,Noise Cancelling Earbuds,BR,CUST-1074,2026/03/16,ORD-000074
82.87,1,Wireless Mouse Silent,UK,CUST-1075,2026/03/17,ORD-000075
25.29,2,Monitor Arm Dual,AU,CUST-1076,2026/03/18,ORD-000076
54.53,1,Organic Cotton T-Shirt,AU,CUST-1077,2026/03/19,ORD-000077
42.12,3,Mechanical Keyboard RGB,BR,CUST-1078,2026/03/20,ORD-000078
93.94,3,Organic Cotton T-Shirt,AU,CUST-1079,2026/03/21,ORD-000079
84.39,1,Smart Watch Series 5,FR,CUST-1080,2026/03/22,ORD-000080
87.81,2,Portable Power Bank,JP,CUST-1081,2026/03/23,ORD-000081
75.94,3,Monitor Arm Dual,CA,CUST-1082,2026/03/24,ORD-000082
83.99,2,Monitor Arm Dual,BR,CUST-1083,2026/03/25,ORD-000083
77.55,1,Bluetooth Speaker Mini,CA,CUST-1084,2026/03/26,ORD-000084
43.71,2,Wireless Headphones Pro,FR,CUST-1085,2026/03/27,ORD-000085
